candidate_family,item_name,year,prefecture_code,prefecture_name,sex,age_group,value,missing_state,source_release_no,source_file
diabetes_metabolic,HbA1C,2013,01,北海道,male,total,5.66215477593096,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,HbA1C,2013,01,北海道,female,40-44,5.31520045367129,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,HbA1C,2013,01,北海道,female,45-49,5.37717608771041,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,HbA1C,2013,01,北海道,female,50-54,5.49900642286014,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,HbA1C,2013,01,北海道,female,55-59,5.58129045675514,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,HbA1C,2013,01,北海道,female,60-64,5.62744240967849,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,HbA1C,2013,01,北海道,female,65-69,5.65712253736413,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,HbA1C,2013,01,北海道,female,70-74,5.67908773866573,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,HbA1C,2013,01,北海道,female,total,5.54029321466764,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,01,北海道,male,40-44,120.697444887373,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,01,北海道,male,45-49,122.688022683793,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,01,北海道,male,50-54,125.164946719767,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,01,北海道,male,55-59,127.615805700192,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,01,北海道,male,60-64,130.330060616919,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,01,北海道,male,65-69,132.134868421053,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,01,北海道,male,70-74,132.921591817165,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,01,北海道,male,total,126.317814990054,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,01,北海道,female,40-44,112.237611035265,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,01,北海道,female,45-49,115.38610775457,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,01,北海道,female,50-54,118.675152041703,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,01,北海道,female,55-59,121.527541321904,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,01,北海道,female,60-64,125.270102364984,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,01,北海道,female,65-69,128.752145901279,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,01,北海道,female,70-74,130.935322537571,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,01,北海道,female,total,121.440337407058,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,02,青森県,male,40-44,24.3935073393117,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,02,青森県,male,45-49,24.3377971646674,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,02,青森県,male,50-54,24.1537412195867,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,02,青森県,male,55-59,24.0664022066199,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,02,青森県,male,60-64,23.9346539141973,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
